#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"All The Things She Said","t.A.T.u.",180,4A,83,2026-06-23,03:34,87,"reggaetón, tropipop, latina, pop urbano","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,53,4,1,38,0,10,-6,F Minor,4,4bJygwUKrRgq1stlNXcgMg,RUA110100098,yes
2,"Contigo Si","Jm caballero",76,7B,51,2026-06-23,03:49,65,"","Contigo Si",2026-05-07,64,11,0,67,0,10,-11,F Major,4,3gH8UbhqDAs6hEcfE3cT4q,QZZ782644830,no
3,"Embriágame (feat. Don Omar) - Remix","Zion & Lennox,Don Omar",91,9B,80,2026-06-23,03:50,58,"flamenco, flamenco urbano, flamenco pop","Motivan2",2016-09-30,64,16,0,53,0,20,-5,G Major,4,1WOJTQfNUEkLlsinPP95VM,USWL11600305,no
4,"BIZUM (Qué tienen tus ojos)","Tutto Durán,Nacho",125,8B,67,2026-06-23,02:16,46,"timba","BIZUM (Qué tienen tus ojos)",2025-02-14,80,4,0,96,0,20,-7,C Major,4,6lowoKt4hZs7L3oc8iDUO4,QZGLM2500122,no
5,"Te hacen falta dos","Manuel Turizo",125,4B,93,2026-06-23,02:41,77,"flamenco, flamenco urbano, flamenco pop","Apambichao",2026-04-09,76,75,0,64,20,10,-4,G#/A♭ Major,4,3Oohz3N32glZTOz0nuxGMD,QZDYA1800682,no
6,"Vente Pa' Aquí","Polo Nandez,Shakira Martínez",106,5B,63,2026-06-23,02:41,53,"reggaetón, latina, ","Vente Pa' Aquí",2024-09-27,71,27,0,56,0,10,-6,D#/E♭ Major,4,2Tul95SaeNAFW8b4EmIo6X,ES71G2421645,no
7,"He Llorado (Como Un Niño)","Juan Magán,Gente De Zona",116,3B,90,2026-06-23,03:38,67,"reggaetón, champeta, latina","The King Is Back (#LatinIBIZAte)",2015-10-16,69,20,0,79,0,10,-2,C♯/D♭ Major,4,72iOihHEQp0LA0hZcjfLaA,MXUM71501183,no
8,"Enhorabuena","Manuel Turizo",140,8B,84,2026-06-23,02:48,58,"flamenco, flamenco urbano, flamenco pop","201",2024-11-22,66,1,0,66,0,10,-5,C Major,4,3Jwlbr7aq7cVnsdAbb2WxL,QZDYA1800363,no
9,"Hiekka","Nicky Jam,Beéle",108,9A,73,2026-06-23,03:33,67,"flamenco pop, flamenco, flamenco urbano, bachata, electro house, edm","Bohemio",2026-01-30,72,5,0,33,0,10,-4,E Minor,4,4PNo8pt5fmvNyTheIqavsH,USA2P2519394,no
10,"QUE HACES","Becky G,Manuel Turizo",124,4B,76,2026-06-23,02:51,74,"tropipop, pop urbano, flamenco, flamenco urbano, flamenco pop","QUE HACES",2025-05-09,85,42,0,77,0,10,-5,G#/A♭ Major,4,4ad3yFpPEMFLnvCtvbman5,USRC12500583,no
